time,q0,q1,q2,dq0,dq1,dq2,tau0,tau1,tau2
1722873643.62665,0.128929079,0.820141792,-1.003226995,0.161996895,-0.258109888,0.00485283,1.330919576,0.474975014,0.284490228
1722873643.62851,0.129322708,0.819384873,-1.003211141,0.161996895,-0.269736457,-0.004044025,1.306181288,0.4551844,0.284490228
1722873643.63084,0.129504323,0.818961024,-1.00317955,0.158896476,-0.244158006,0.002022012,1.296285987,0.460132056,0.284490228
1722873643.63258,0.129716277,0.818688512,-1.00314796,0.159671581,-0.218579549,0.002830817,1.286390662,0.460132051,0.284490228
1722873643.63452,0.129928231,0.818325162,-1.003132224,0.182149619,-0.20462766,0.00161761,1.321024251,0.470027369,0.284490228
1722873643.63655,0.130140185,0.817810416,-1.003084779,0.166647524,-0.216254228,0.002426415,1.311128926,0.519503921,0.303456247
1722873643.6385,0.130352139,0.817356288,-1.003069043,0.130992705,-0.227880806,0.00323522,1.335867214,0.509608603,0.303456247
1722873643.64055,0.130836546,0.81693238,-1.003037453,0.121691447,-0.23175633,-0.006066038,1.360605502,0.470027351,0.312939256
1722873643.64255,0.130836546,0.816447973,-1.003037453,0.134868228,-0.243382898,-0.0161761,1.38534379,0.504660952,0.322422266
1722873643.64452,0.13107878,0.815993786,-1.002958417,0.151145428,-0.248808634,-0.010514465,1.345762539,0.534346902,0.331905276
1722873643.64707,0.13141185,0.815267146,-1.002942681,0.160446686,-0.271286672,-0.002426415,1.335867214,0.554137516,0.331905276
1722873643.64878,0.131563246,0.814812958,-1.002911091,0.133318019,-0.264310727,0.007279245,1.286390662,0.549189854,0.331905276
1722873643.65065,0.13180542,0.814510226,-1.002911091,0.123241657,-0.218579543,-0.002426415,1.271547699,0.519503915,0.312939256
1722873643.65264,0.131987095,0.814086318,-1.0028795,0.120916343,-0.202302343,-0.007279245,1.241861773,0.474975014,0.312939256
1722873643.65463,0.13216877,0.813692689,-1.00284791,0.111615086,-0.214704019,-0.006066037,1.246809411,0.479922682,0.303456247
1722873643.65658,0.13253212,0.81293577,-1.002832055,0.134093124,-0.21005339,-0.000808805,1.291338301,0.534346902,0.27500723
1722873643.65855,0.132653236,0.812602699,-1.002816319,0.118591028,-0.211603606,0.004044025,1.321024251,0.519503927,0.28449024
1722873643.6605,0.132834852,0.812239408,-1.002816319,0.106964457,-0.22865591,-0.000808805,1.340814877,0.465079701,0.312939262
1722873643.66254,0.133016527,0.8118155,-1.002768874,0.110839981,-0.22478039,0.007683648,1.330919576,0.53434689,0.312939256
1722873643.66474,0.133289039,0.81145215,-1.00278461,0.102313828,-0.220129758,-0.004852829,1.360605526,0.54918986,0.293973237
1722873643.66659,0.133500993,0.810664952,-1.002753019,0.129442495,-0.219354656,-0.006066037,1.350710225,0.504660952,0.303456247
1722873643.66852,0.133652389,0.810301602,-1.002737284,0.127892286,-0.255009472,-0.00485283,1.3309196,0.509608608,0.322422266
1722873643.67058,0.133803785,0.80999887,-1.002721429,0.120141238,-0.250358841,-0.000808805,1.330919576,0.534346902,0.312939256
1722873643.67252,0.134015679,0.80963552,-1.002705693,0.137193543,-0.209278286,-0.007279245,1.370500827,0.494765651,0.312939256
1722873643.67454,0.134167075,0.809211612,-1.002674103,0.168972838,-0.196101505,-0.00647044,1.419977379,0.49971329,0.303456247
1722873643.67651,0.134379029,0.808696926,-1.002642512,0.192225981,-0.224005276,-0.017389307,1.410082054,0.529399222,0.27500723
1722873643.67859,0.134651542,0.808394134,-1.002595067,0.160446689,-0.226330596,-0.00808805,1.42987268,0.539294553,0.28449024
1722873643.68083,0.134863496,0.807970285,-1.002563477,0.127892289,-0.232531434,0.010514464,1.410082054,0.484870338,0.293973243
1722873643.68269,0.135045111,0.80709219,-1.002531886,0.123241659,-0.227105698,0.021837734,1.395239091,0.450236738,0.293973237
1722873643.68459,0.135166228,0.806789398,-1.00251615,0.137193543,-0.213928914,0.019411319,1.419977379,0.489817971,0.284490228
1722873643.68659,0.135287344,0.806456387,-1.002468705,0.118591028,-0.205402762,0.023859746,1.424925041,0.484870315,0.284490228
1722873643.6886,0.135499299,0.8060022,-1.00245297,0.121691447,-0.223230171,0.026690564,1.41502974,0.450236726,0.303456247
1722873643.69058,0.135650694,0.805638909,-1.00245297,0.120141238,-0.224005276,0.026286162,1.405134439,0.470027357,0.322422266
1722873643.69254,0.135741532,0.80524528,-1.00245297,0.093787676,-0.246483314,0.01455849,1.400186777,0.50960862,0.312939256
1722873643.69454,0.136074603,0.804851651,-1.00245297,0.082161105,-0.231756324,-0.0161761,1.469453955,0.4551844,0.312939256
1722873643.69651,0.136225939,0.804094732,-1.002421379,0.115490609,-0.204627657,-0.03073459,1.464506292,0.430446112,0.322422266
1722873643.69861,0.136347055,0.803822219,-1.002405524,0.136418438,-0.193001091,-0.020220125,1.454610968,0.445289075,0.312939256
1722873643.70059,0.136437893,0.803458929,-1.002405524,0.116265714,-0.224780387,-0.005661635,1.454610968,0.460132045,0.312939256
1722873643.70254,0.136740685,0.80270195,-1.002389789,0.110839981,-0.244933113,0.000808805,1.42987268,0.479922682,0.303456247
1722873643.70452,0.136831522,0.80270195,-1.002389789,0.103088933,-0.248033535,0.001213207,1.405134416,0.504660976,0.293973237
1722873643.70659,0.136952639,0.802096426,-1.002389789,0.103864038,-0.262760523,0,1.479349279,0.479922688,0.341388285
1722873643.70862,0.137164593,0.801642239,-1.002389789,0.12866739,-0.261210307,-0.00323522,1.469453955,0.49971329,0.398286343
1722873643.71055,0.137255371,0.80124867,-1.002389789,0.106964457,-0.231756324,-0.010110062,1.499139881,0.489817971,0.388803333
1722873643.71256,0.137437046,0.800855041,-1.002358198,0.094562781,-0.215479124,0.005257232,1.489244556,0.479922664,0.350871295
1722873643.71459,0.137679279,0.800431132,-1.002358198,0.138743752,-0.212378711,0.006874842,1.454610968,0.50466094,0.293973249
1722873643.71657,0.137921512,0.800037563,-1.002326608,0.153470743,-0.198426825,-0.002022012,1.370500827,0.470027345,0.27500723
1722873643.71868,0.138072908,0.799280584,-1.002310753,0.136418438,-0.199977037,-0.008896855,1.424925041,0.450236726,0.275007224
1722873643.72069,0.138163745,0.798826456,-1.002295017,0.103088933,-0.205402768,-0.006874842,1.479349256,0.470027369,0.284490228
1722873643.72252,0.13837564,0.798523664,-1.002279162,0.11239019,-0.200752136,-0.002426415,1.419977379,0.519503933,0.26552422
1722873643.7245,0.138466477,0.798160315,-1.002279162,0.095337887,-0.182149619,-0.006066037,1.41502974,0.529399252,0.26552422
